symbol,state,fused_score,technical_score,cr360_score,confidence,data_confidence,false_breakout_risk,entry,stop,target1,target2,target3,risk_pct,fundamental_bias,ownership_bias,rank
ONGC,AVOID,10.74,34.92,45.29,56.47,71.6,49.27,236.24000549316406,235.79890251159668,236.69999695,237.12221145629883,237.5633144378662,0.18671815582062656,BEARISH,NEUTRAL,63
EICHERMOT,AVOID,10.62,36.23,48.39,55.37,73.2,47.3,8012.5,8004.4875,8024.518749999999,8028.525,8036.537499999999,0.09999999999999773,BEARISH,NEUTRAL,64
IRFC,AVOID,10.3,35.32,49.31,54.98,71.6,47.15,85.93000030517578,85.69974708557129,86.27538013458252,86.39050674438477,86.62075996398926,0.2679544033361576,BEARISH,NEUTRAL,65
INDHOTEL,AVOID,9.79,46.21,27.72,59.37,70.0,31.62,727.0,725.6939265659877,728.9591101510184,729.6121468680246,730.918220302037,0.17965246685176328,BEARISH,NEUTRAL,66
JIOFIN,AVOID,8.77,39.83,38.08,57.41,70.0,42.91,242.75,242.27357243129185,243.44999695,243.7028551374163,244.17928270612444,0.19626264416401507,BEARISH,NEUTRAL,67
CAMS,AVOID,8.46,34.74,44.79,53.3,71.6,47.73,751.9500122070312,750.8437728881836,753.6093711853027,754.1624908447266,755.2687301635742,0.1471160716655564,BEARISH,NEUTRAL,68
TECHM,AVOID,5.9,30.76,45.27,53.62,71.6,50.32,1577.699951171875,1575.4142325265068,1581.1285291399272,1582.2713884626114,1584.5571071079796,0.1448766378974933,BEARISH,NEUTRAL,69
BEL,AVOID,5.75,46.97,13.47,60.38,70.0,38.39,408.6499938964844,407.69302760532923,410.0854433332171,410.3999939,411.5208927699498,0.23417748818015416,BEARISH,NEUTRAL,70
BDL,AVOID,5.74,41.3,25.49,64.52,70.0,44.27,1369.0,1363.981063406808,1373.59997559,1379.0378731863839,1384.0568097795758,0.36661333770576615,BEARISH,NEUTRAL,71
SIEMENS,AVOID,5.17,50.92,18.89,63.03,71.6,38.0,4098.0,4077.8750601632255,4117.0,4138.249879673549,4158.3748195103235,0.4910917480911299,BEARISH,NEUTRAL,72
IREDA,AVOID,1.65,39.26,34.24,56.5,66.18,45.21,115.30000305175781,114.94596753801618,115.81999969,116.00807407924108,116.36210959298272,0.3070559448144248,BEARISH,NEUTRAL,73
RVNL,AVOID,0.34,30.9,27.59,52.94,70.0,51.17,221.66000366210938,221.34874954223633,222.12688484191892,222.28251190185546,222.5937660217285,0.140419613250348,BEARISH,NEUTRAL,74
KPITTECH,AVOID,0.0,35.0,23.28,55.5,73.2,45.58,582.7000122070312,580.8476917811803,585.4784928458078,586.4046530587332,588.2569734845841,0.31788577090210174,BEARISH,NEUTRAL,75
INDIGO,AVOID,0.0,37.42,3.75,55.23,71.6,45.82,5105.0,5098.4625,5114.806250000001,5118.075000000001,5124.612500000001,0.12806072477963495,BEARISH,NEUTRAL,76
RAILTEL,AVOID,0.0,40.43,19.7,59.51,71.6,46.87,282.5,281.7607192993164,283.6089210510254,283.9785614013672,284.7178421020508,0.2616922834278208,BEARISH,NEUTRAL,77
DLF,AVOID,0.0,41.01,17.13,57.64,70.0,47.1,683.4000244140625,681.7287750244141,685.9068984985352,686.7425231933594,688.4137725830078,0.2445492142148141,BEARISH,NEUTRAL,78
SUZLON,AVOID,0.0,38.49,18.03,56.71,70.0,47.21,46.790000915527344,46.69717971256801,46.92923271996635,46.92923271996635,47.06846452440535,0.19837828840164115,BEARISH,NEUTRAL,79
BHEL,AVOID,0.0,31.06,22.39,54.24,70.0,47.29,409.75,409.0900016784668,410.73999748229977,411.06999664306636,411.72999496459954,0.161073415871429,BEARISH,NEUTRAL,80
CIPLA,AVOID,0.0,37.87,20.64,62.92,71.6,52.36,1437.0,1433.278934587751,1442.5815981183732,1442.5815981183732,1448.1631962367467,0.2589467927800202,BEARISH,NEUTRAL,81
